PortSummaryTable [port_name=DBH, ticker=HEIDELBCEM, share_quantity=12210.0, cost_price=2690.4, source_date=2010-06-12, portfoli_value=3.284972504E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ICB, share_quantity=6150.0, cost_price=3977.2, source_date=2010-06-12, portfoli_value=2.445980392E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=IDLC, share_quantity=13340.0, cost_price=2655.5, source_date=2010-06-12, portfoli_value=3.542440299E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=IFIC, share_quantity=200.0, cost_price=663.96, source_date=2010-06-12, portfoli_value=132791.64, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=INTECH, share_quantity=700.0, cost_price=38.02, source_date=2010-06-12, portfoli_value=26612.73, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ISLAMIBANK, share_quantity=45000.0, cost_price=528.83, source_date=2010-06-12, portfoli_value=2.379735E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=JAMUNAOIL, share_quantity=21500.0, cost_price=412.0, source_date=2010-06-12, portfoli_value=8857965.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=KEYACOSMET, share_quantity=30000.0, cost_price=85.0, source_date=2010-06-12, portfoli_value=2550000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=LANKABAFIN, share_quantity=108500.0, cost_price=386.44, source_date=2010-06-12, portfoli_value=4.192845E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=LANKASECURITIES, share_quantity=30000.0, cost_price=250.0, source_date=2010-06-12, portfoli_value=7500000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=LHBL, share_quantity=6500.0, cost_price=446.25, source_date=2010-06-12, portfoli_value=2900625.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=LINDEBD, share_quantity=7600.0, cost_price=629.65, source_date=2010-06-12, portfoli_value=4785308.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=MARICO, share_quantity=5000.0, cost_price=419.04, source_date=2010-06-12, portfoli_value=2095200.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=MEGHNACEM, share_quantity=500.0, cost_price=1347.15, source_date=2010-06-12, portfoli_value=673575.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=MEGHNALIFE, share_quantity=200.0, cost_price=2290.0, source_date=2010-06-12, portfoli_value=458000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=MONNOCERA, share_quantity=1145.0, cost_price=511.45, source_date=2010-06-12, portfoli_value=585610.25, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=MPETROLEUM, share_quantity=4305.0, cost_price=277.3, source_date=2010-06-12, portfoli_value=1193797.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=NATLIFEINS, share_quantity=70.0, cost_price=7104.0, source_date=2010-06-12, portfoli_value=497280.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=NAVANACNG, share_quantity=1600.0, cost_price=239.94, source_date=2010-06-12, portfoli_value=383910.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=NITOLINS, share_quantity=656.0, cost_price=646.29, source_date=2010-06-12, portfoli_value=423965.5, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=NTLTUBES, share_quantity=100.0, cost_price=1611.5, source_date=2010-06-12, portfoli_value=161150.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=ONEBANKLTD, share_quantity=464.0, cost_price=372.2, source_date=2010-06-12, portfoli_value=172699.39, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PADMAOIL, share_quantity=14000.0, cost_price=947.94, source_date=2010-06-12, portfoli_value=1.3271185E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PEOPLESINS, share_quantity=430.0, cost_price=679.51, source_date=2010-06-12, portfoli_value=292190.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PHENIXINS, share_quantity=1787.0, cost_price=467.2, source_date=2010-06-12, portfoli_value=834888.76, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PIONEERINS, share_quantity=2750.0, cost_price=1125.36, source_date=2010-06-12, portfoli_value=3094738.14, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=POPULARLIF, share_quantity=600.0, cost_price=4651.25, source_date=2010-06-12, portfoli_value=2790750.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=POWERGRID, share_quantity=31950.0, cost_price=828.78, source_date=2010-06-12, portfoli_value=2.647949717E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PRAGATIINS, share_quantity=2757.0, cost_price=1517.91, source_date=2010-06-12, portfoli_value=4184876.68, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PRIMEBANK, share_quantity=55025.0, cost_price=549.96, source_date=2010-06-12, portfoli_value=3.026156515E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PRIMEFIN, share_quantity=6750.0, cost_price=2476.05, source_date=2010-06-12, portfoli_value=1.671336E7, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PRIMELIFE, share_quantity=200.0, cost_price=2175.25, source_date=2010-06-12, portfoli_value=435050.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PROVATIINS, share_quantity=600.0, cost_price=100.0, source_date=2010-06-12, portfoli_value=60000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=PUBALIBANK, share_quantity=12000.0, cost_price=662.03, source_date=2010-06-12, portfoli_value=7944360.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=QSMDRYCELL, share_quantity=2500.0, cost_price=80.4, source_date=2010-06-12, portfoli_value=201000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RAKCERAMIC, share_quantity=149600.0, cost_price=48.0, source_date=2010-06-12, portfoli_value=7180800.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RANFOUNDRY, share_quantity=9000.0, cost_price=119.0, source_date=2010-06-12, portfoli_value=1071000.0, current_price=0.0]

PortSummaryTable [port_name=DBH, ticker=RECKITTBEN, share_quantity=150.0, cost_price=1880.0, source_date=2010-06-12, portfoli_value=282000.0, current_price=0.0]

